Name,Length,Width,Weight,Build,DisplT,PressS,RAMGB,Attract
PixelXL,155,76,168,A,AMO,N,4,Appr
PixelXL,144,70,143,A,AMO,N,4,Mod
7Plus,158,78,188,A,IPS,Y,4,High
iPhone7,138,67,138,A,IPS,Y,2,High
LGV20,160,78,174,A,IPS,N,4,Mod
S7edge,151,73,157,AG,AMO,N,4,High
GS7,142,70,152,AG,AMO,N,4,High
HTC10,146,72,161,A,IPS,N,4,Appr
OnePlus,153,75,158,A,AMO,N,6,Poor
MotoZ,153,75,136,AS,AMO,N,4,Suff
